sale_id,date_key,rep_key,doctor_key,product_key,territory_key,quantity_sold,discount_percent,marketing_spend,revenue
84,461,8,86,15,7,63,11.97,2694.35,10554.94
85,278,34,215,8,6,61,0.96,3837.97,4874.23
86,683,40,257,15,17,87,12.33,989.84,14516.26
87,421,27,423,1,22,1,5.72,2711.1,304.35
88,701,29,286,3,23,62,11.09,3012.76,7093.38
89,353,14,133,12,15,45,10.38,1464.55,11989.41
90,696,34,222,9,7,46,0.3,4844.82,2826.02
91,515,45,455,7,4,94,12.06,3900.76,17804.91
92,703,37,446,1,1,35,1.13,2120.1,11170.68
93,630,1,253,11,13,44,13.73,4960.12,18349.28
94,19,9,205,10,20,76,2.86,4678.98,8181.44
95,23,10,159,19,2,3,3.64,693.16,978.16
96,413,30,135,2,3,67,3.79,3943.74,25407.83
97,30,43,127,13,24,29,8.8,3916.95,12817.23
98,108,18,246,17,16,36,13.16,1788.45,7746.2
99,367,17,285,2,5,2,14.67,854.97,672.67
100,281,6,51,1,16,58,7.4,1791.75,17337.48
101,128,11,473,3,19,61,7.28,2894.46,7278.04
102,229,24,205,10,12,31,4.48,4300.08,3281.51
103,111,36,240,1,17,43,5.99,3785.75,13049.37
104,136,33,373,14,3,74,7.9,897.51,16671.83
105,362,33,79,6,6,35,13.17,2049.78,3521.35
106,186,18,179,18,18,96,10.03,3817.02,8425.51
107,656,5,350,20,15,54,14.26,2810.65,6816.23
108,584,31,455,14,22,63,0.56,3708.65,15324.76
109,129,16,325,12,17,79,0.2,872.26,23438.94
110,261,2,14,11,6,13,13.76,2681.34,5419.49
111,515,9,94,15,18,22,7.21,2352.68,3885.15
112,449,2,23,6,12,95,6.01,2783.27,10346.09
113,104,37,80,2,18,10,9.57,2366.43,3564.39
114,483,20,344,14,19,43,8.6,1785.05,9614.06
115,224,17,43,5,23,83,11.77,2230.06,16799.17
116,491,25,56,15,8,10,1.67,4089.33,1871.42
117,473,19,405,5,7,72,11.51,3175.32,14615.72
118,10,42,107,10,17,57,9.77,1469.14,5699.59
119,405,8,414,14,8,37,10.65,1256.85,8087.01
120,302,11,460,18,22,31,14.77,1054.32,2577.4
121,231,13,245,2,23,28,11.74,4531.31,9740.8
122,731,13,365,17,6,88,4.17,2441.94,20895.39
123,66,9,424,6,2,69,1.29,1004.66,7891.89
124,112,5,94,1,9,87,8.39,3653.57,25728.18
125,13,18,102,4,3,24,9.74,2718.13,5982.07
126,393,40,22,20,5,38,9.8,2961.31,5046.11
127,500,14,386,15,22,74,13.51,3921.99,12180.97
128,598,34,407,4,24,92,8.34,716.83,23286.96
129,234,22,106,5,16,21,6.45,2207.8,4506.68
130,602,48,215,19,11,96,8.21,2608.8,29816.62
131,314,33,470,15,3,10,1.7,4373.4,1870.85
132,566,24,190,14,24,58,7.9,525.14,13067.11
133,12,29,30,13,18,43,12.35,4315.68,18265.09
134,209,13,155,18,13,21,13.02,3598.09,1781.83
135,14,50,482,1,19,20,12.24,1162.8,5665.96
136,633,27,459,11,20,45,14.38,2151.29,18624.92
137,418,1,221,12,18,5,10.79,1523.4,1326.06
138,437,7,37,3,14,67,12.34,721.83,7557.66
139,377,4,326,16,2,23,0.08,3412.64,6383.37
140,20,10,16,4,15,99,11.64,212.43,24156.61
141,587,40,124,16,17,22,1.52,3655.15,6017.84
142,70,35,20,6,15,85,9.23,2374.26,8939.89
143,211,39,330,8,17,71,7.27,4184.72,5311.83
144,101,16,430,6,12,19,8.1,1018.42,2023.21
145,698,27,358,4,9,38,5.83,1322.13,9881.92
146,132,20,229,2,3,7,9.35,3590.37,2501.14
147,623,10,379,8,1,30,3.82,4182.78,2327.94
148,381,45,330,3,16,59,0.05,894.44,7588.32
149,132,33,236,16,10,35,13.44,169.29,8415.02
150,20,7,409,6,8,72,12.77,4841.15,7277.28
151,536,42,315,17,9,45,14.56,4349.49,9526.65
152,227,44,214,3,12,49,5.65,3747.6,5949.07
153,154,46,160,14,18,25,10.19,793.26,5492.33
154,469,22,145,1,11,12,2.4,1019.56,3780.75
155,405,43,218,7,4,50,10.75,3310.21,9611.78
156,202,17,464,10,25,35,2.05,3500.52,3799.19
157,38,9,394,20,19,79,5.06,3166.84,11041.88
158,188,40,145,2,16,99,3.97,4171.19,37472.67
159,57,10,386,14,14,33,0.28,1233.98,8049.86
160,20,36,66,8,14,64,3.54,4287.14,4980.73
161,273,31,29,20,7,50,6.72,184.05,6866.34
162,119,31,238,6,23,58,0.96,929.25,6655.94
163,583,5,379,5,5,68,6.61,3240.15,14568.09
164,516,18,132,12,21,84,13.17,1031.73,21683.5
165,221,6,286,11,22,61,5.08,1206.78,27989.44
166,526,42,189,20,17,11,0.15,2362.56,1616.99
167,515,50,442,18,12,37,8.45,2726.42,3304.36
168,728,28,204,1,13,20,2.78,4205.16,6276.72
169,336,43,162,1,9,99,13.77,4784.7,27557.55
170,698,24,334,5,18,44,4.2,214.16,9669.67
171,55,5,152,7,10,11,7.45,424.95,2192.78
172,500,28,344,12,20,39,13.81,437.92,9993.14
173,536,3,251,5,4,26,8.15,4879.02,5478.3
174,162,18,82,14,2,36,1.53,3699.96,8671.58
175,670,4,25,20,17,21,7.5,2556.08,2859.75
176,594,40,345,9,2,8,12.39,3561.18,431.88
177,159,49,105,18,4,71,13.21,2985.19,6011.12
178,188,42,281,18,20,11,3.03,3790.13,1040.54
179,60,32,220,10,8,30,4.9,1214.74,3161.69
180,319,32,158,17,15,22,14.62,4593.9,4654.2
181,211,19,439,5,1,25,0.5,3873.39,5706.32
182,406,29,89,5,17,98,9.77,3019.15,20284.79
183,664,33,408,1,4,31,9.3,324.94,9076.45
184,109,2,232,6,19,11,12.6,1381.9,1113.97
185,76,11,383,7,7,49,13.94,3771.47,9082.87
186,542,47,423,11,19,21,0.69,752.49,10081.36
187,314,33,205,1,12,55,5.86,330.28,16714.13
188,117,41,258,3,24,7,13.07,2701.67,783.03
189,704,40,162,13,15,74,2.98,1447.68,34793.2
190,19,1,16,16,17,78,10.33,4558.31,19427.26
191,432,42,176,13,3,66,1.67,1397.48,31450.77
192,685,17,152,9,19,61,10.13,2561.24,3378.05
193,350,50,434,6,25,45,6.25,3503.72,4888.27
194,183,16,130,18,8,6,1.67,1554.59,575.53
195,113,2,477,3,7,65,1.34,3584.93,8252.12
196,183,49,39,19,8,99,2.6,2724.04,32627.67
197,481,4,359,18,7,37,6.34,2144.4,3380.52
198,146,32,209,5,21,2,11.34,4434.78,406.77
199,628,7,443,3,1,85,6.18,4821.7,10261.84
200,113,29,151,5,14,30,11.12,3218.83,6116.72
201,476,9,12,11,23,31,11.86,1654.76,13208.13
202,303,35,77,10,6,17,2.0,4608.63,1846.26
203,118,5,69,14,4,26,3.62,2703.91,6129.88
204,161,50,143,19,22,95,1.5,3783.69,31662.97
205,401,21,60,19,10,53,11.54,245.24,15864.07
206,198,17,320,4,8,39,7.28,2967.96,9985.8
207,260,39,386,10,4,53,1.66,247.22,5775.96
208,660,14,454,18,24,45,12.59,4325.74,3837.08
209,47,32,320,17,8,1,6.92,4206.18,230.63
210,399,15,164,8,25,97,5.85,2664.69,7368.14
211,710,21,215,5,20,63,1.24,3988.72,14272.99
212,559,14,269,8,19,41,7.91,927.23,3046.23
213,78,41,258,8,12,88,9.26,2866.2,6442.39
214,124,16,376,4,2,92,7.47,2565.44,23507.99
215,75,1,261,10,21,85,7.29,3165.31,8733.0
216,137,40,40,19,1,71,6.65,4494.29,22426.66
217,602,18,464,9,24,16,3.63,1391.85,950.13
218,400,34,448,15,8,67,10.18,2494.82,11453.34
219,505,26,39,20,23,63,12.33,3258.05,8131.27
220,500,36,163,6,22,58,7.53,1548.31,6214.41
221,573,21,441,18,20,31,4.2,3159.89,2897.04
222,138,1,41,12,20,61,2.88,3780.84,17612.41
223,50,27,173,7,20,20,13.62,971.43,3721.08
224,619,11,162,12,3,25,3.3,4215.04,7186.99
225,625,38,403,14,2,3,7.82,4406.1,676.47
226,254,14,235,14,3,22,13.07,2328.23,4678.26
227,630,28,382,11,6,2,8.97,4873.44,880.08
228,710,27,218,17,19,46,9.2,2582.46,10349.28
229,563,22,298,18,4,53,5.65,2039.88,4878.04
230,426,21,363,3,16,19,12.27,2180.38,2144.93
231,547,24,17,19,13,94,13.21,1951.53,27605.1
232,302,19,113,6,22,74,10.42,3143.49,7680.93
233,581,24,35,8,24,4,11.39,368.37,285.96
234,349,26,204,3,4,28,5.33,1581.0,3411.0
235,49,25,163,20,18,3,1.9,4367.4,433.27
236,74,45,357,9,16,96,12.52,742.09,5174.9
237,704,44,262,12,12,65,11.06,3427.54,17186.63
238,261,29,436,8,15,79,2.62,3717.62,6206.73
239,356,10,74,8,13,13,7.92,4061.83,965.77
240,582,11,299,1,17,2,11.52,196.3,571.24
241,602,24,407,7,24,29,4.88,4645.89,5941.49
242,260,24,211,10,8,33,5.46,3335.77,3457.38
243,638,12,116,16,17,50,6.17,4833.08,13031.11
244,295,7,171,4,22,90,10.66,4761.8,22204.12
245,641,40,437,13,1,29,12.39,4815.58,12312.69
246,313,17,72,17,12,94,0.76,2528.25,23114.31
247,612,35,73,11,7,63,4.23,4825.84,29165.99
248,182,6,451,15,19,8,14.81,1831.85,1297.07
249,686,12,353,16,13,82,11.42,4122.23,20175.26
250,364,15,194,9,13,21,1.67,4149.87,1272.41
251,188,32,418,16,12,77,6.45,1322.57,20008.02
252,569,23,419,12,10,39,12.6,4472.3,10133.43
253,543,7,466,9,8,65,8.01,2631.07,3684.48
254,596,38,155,15,8,96,2.03,383.31,17899.82
255,664,31,497,17,18,80,6.68,3320.63,18498.26
256,548,29,236,12,23,66,11.26,1193.26,17411.8
257,725,44,155,10,12,97,9.42,1329.63,9736.93
258,408,28,486,6,1,86,7.5,4379.49,9217.46
259,618,12,448,6,18,85,12.39,2734.53,8628.67
260,414,27,295,1,17,42,7.51,4462.52,12539.81
261,342,4,188,2,4,69,11.66,3795.68,24025.87
262,220,21,209,10,15,1,5.68,2701.25,104.53
263,163,9,73,8,16,31,11.95,2258.24,2202.2
264,220,49,96,18,10,2,0.38,3130.84,194.36
265,270,34,407,10,22,69,3.14,4556.69,7406.48
266,632,37,492,9,1,12,13.46,1142.98,639.91
267,400,21,334,20,1,3,6.36,2543.81,413.57
268,182,23,11,11,20,55,8.15,4947.63,24420.16
269,618,24,4,4,18,40,0.83,2825.42,10954.32
270,729,10,51,5,22,28,1.41,1523.75,6332.63
271,205,38,294,7,20,21,5.07,106.91,4293.86
272,582,6,51,17,13,61,5.83,3992.14,14233.4
273,556,21,48,9,2,27,4.7,2353.7,1585.54
274,228,37,464,15,24,17,1.36,523.24,3191.44
275,696,29,292,6,7,29,14.82,917.46,2862.24
276,619,40,281,5,3,48,12.87,1144.39,9594.06
277,596,21,133,13,17,68,10.99,3696.13,29332.5
278,250,22,330,17,23,3,4.81,4730.65,707.59
279,441,35,69,1,21,87,14.26,1837.17,24079.62
280,533,46,361,18,7,2,12.18,1630.62,171.34
281,196,5,338,14,19,82,1.19,4592.69,19820.14
282,690,15,375,12,17,91,3.78,1109.28,26030.77
283,519,41,23,4,4,13,1.53,2598.6,3535.02
284,70,47,486,8,12,14,9.38,3223.24,1023.57
285,639,19,14,6,20,90,6.64,4632.53,9735.86
286,399,16,180,20,9,13,10.68,230.81,1709.46
287,672,40,87,17,1,86,5.96,4068.76,20039.06
288,203,47,381,1,19,95,0.21,2428.29,30602.55
289,148,43,48,7,25,18,2.82,1634.78,3767.69
290,472,23,355,6,8,49,3.59,1983.66,5473.8
291,655,4,313,17,2,2,10.42,3771.66,443.92
292,199,21,161,17,9,5,1.12,1783.71,1225.02
293,426,24,294,14,1,28,4.0,3408.72,6575.39
294,666,42,449,2,4,45,1.95,712.54,17391.32
295,492,26,6,16,15,63,0.84,879.01,17351.89
296,142,42,149,13,18,89,1.63,634.69,42428.14
297,313,2,27,16,20,45,11.91,3675.01,11010.55
298,165,40,325,13,14,96,13.95,4304.86,40033.49
299,314,8,475,11,10,24,13.68,1639.1,10014.5
300,21,9,492,1,23,21,13.7,2975.92,5850.29
301,82,2,134,13,2,79,3.72,4503.52,36860.78
302,581,14,296,12,25,76,12.27,2162.95,19821.75
303,131,20,153,5,4,32,2.09,2616.63,7187.38
304,599,2,499,15,17,19,0.71,4502.64,3590.41
305,730,4,325,3,4,12,12.32,1592.77,1353.92
306,305,35,190,4,7,83,12.59,3515.16,20034.77
307,371,14,79,15,19,30,13.3,3118.83,4950.22
308,384,21,46,15,4,34,9.88,915.81,5831.56
309,445,48,432,14,10,19,9.39,3756.6,4211.35
310,425,15,422,9,10,9,2.81,1850.76,539.0
311,161,39,61,6,3,78,3.22,485.39,8746.84
312,178,50,81,11,25,62,8.61,1327.03,27390.31
313,629,20,273,16,6,42,9.77,3294.85,10526.16
314,708,6,48,13,22,51,11.64,3197.72,21838.72
315,490,28,33,11,15,6,8.67,1617.52,2648.94
316,327,48,18,2,14,15,13.11,3266.82,5137.28
317,598,43,36,18,24,39,2.92,4276.92,3693.36
318,289,2,310,9,4,68,10.68,964.67,3742.65
319,593,28,387,15,25,33,3.91,2604.26,6034.99
320,664,34,89,14,13,54,7.0,2238.0,12284.82
321,573,14,355,10,3,8,8.35,232.0,812.53
322,573,9,365,7,7,37,4.51,3539.66,7610.01
323,354,23,148,4,8,2,4.04,300.12,529.99
324,28,44,100,15,17,30,13.84,4281.11,4919.39
325,43,35,363,20,23,20,14.45,2183.95,2518.93
326,681,22,31,18,18,95,6.77,1889.41,8639.86
327,423,5,21,12,3,72,0.45,1663.79,21308.56
328,598,41,128,6,18,54,12.06,1900.17,5502.39
329,177,29,357,6,11,68,7.63,4905.06,7277.98
330,529,35,290,12,8,50,13.08,4901.57,12920.22
331,610,50,230,5,21,48,2.99,1345.24,10681.97
332,494,34,185,9,5,89,4.34,2972.3,5246.17
333,198,4,165,2,10,47,7.35,2673.63,17163.89
334,610,45,257,12,3,35,9.07,1596.67,9461.4
335,577,49,57,11,20,92,8.96,4341.4,40488.04
336,517,9,311,3,25,79,10.63,2551.46,9085.1
337,514,14,159,9,22,65,5.71,1212.43,3776.6
338,22,45,23,8,9,43,8.37,4278.11,3178.86
339,112,5,107,2,15,32,5.27,410.05,11948.41
340,57,50,102,5,20,85,12.95,2949.36,16973.88
341,66,47,369,16,10,56,3.81,1391.47,14961.93
342,98,27,331,9,5,18,6.84,1837.02,1033.29
343,144,11,487,8,15,28,11.42,1032.33,2001.06
344,435,30,304,4,25,94,7.32,2969.84,24057.97
345,637,37,404,14,12,18,0.09,1813.39,4399.2
346,679,39,357,12,18,72,0.38,1266.36,21323.54
347,86,34,391,19,23,28,13.88,305.57,8159.32
348,588,24,99,19,22,89,10.72,4672.59,26886.61
349,344,16,130,19,19,2,8.59,4589.31,618.61
350,294,30,251,13,5,40,11.13,4886.51,17227.27
351,571,24,225,19,25,39,3.75,4005.57,12701.56
352,650,3,296,3,14,96,8.71,3670.83,11277.31
353,611,29,408,8,22,38,1.92,4919.34,3006.98
354,704,42,359,14,23,44,12.38,2590.38,9430.79
355,243,12,458,7,1,49,10.55,2865.19,9440.65
356,561,27,110,4,15,95,13.82,2432.19,22608.68
357,32,29,9,17,1,43,10.94,2336.75,9488.93
358,391,2,122,13,14,80,13.24,2187.23,33636.5
359,277,29,299,12,6,1,4.07,1899.3,285.19
360,532,40,353,9,1,77,3.65,1110.0,4571.56
361,154,9,51,7,14,38,8.58,3388.78,7482.56
362,383,44,213,13,2,99,5.23,2178.46,45468.16
363,68,28,462,3,17,3,10.07,712.29,347.17
364,214,37,50,8,4,51,14.61,905.29,3513.53
365,655,23,343,11,9,35,1.55,3839.45,16656.76
366,376,13,204,5,20,70,12.45,4852.85,14058.78
367,213,5,150,10,19,34,5.2,4732.72,3571.95
368,79,32,92,2,16,28,8.47,3232.51,10101.69
369,726,28,91,2,11,22,1.03,147.07,8582.2
370,628,15,10,3,22,9,1.33,4862.15,1142.72
371,604,24,210,6,17,83,13.72,3316.51,8297.73
372,381,32,472,16,1,4,2.8,506.99,1079.93
373,680,21,195,19,15,45,7.02,3001.84,14157.74
374,58,5,388,20,2,46,8.21,3317.55,6216.13
375,26,37,30,15,2,37,6.68,4756.48,6571.45
376,447,36,469,10,6,95,8.8,813.82,9601.44
377,66,28,150,12,9,98,11.28,4887.39,25848.06
378,254,32,92,13,18,2,6.79,4990.62,903.43
379,44,23,201,15,5,32,5.54,1019.62,5752.84
380,97,16,364,7,23,6,3.86,1982.31,1242.46
381,554,50,297,16,22,81,1.35,4604.64,22194.83
382,227,10,489,13,8,35,7.66,3817.04,15662.43
383,679,29,144,1,15,44,0.4,3272.42,14146.83
384,436,27,440,9,14,4,14.14,2626.37,211.63
385,601,35,485,1,3,34,0.57,343.12,10912.98
386,379,42,69,6,21,3,5.51,4081.88,328.46
387,178,45,142,14,25,11,4.03,615.69,2582.38
388,427,24,436,19,17,49,0.12,3310.14,16560.23
389,709,23,14,4,23,10,9.2,3786.67,2507.44
390,307,3,175,3,25,72,2.14,4306.82,9066.69
391,504,36,272,5,15,49,12.14,2701.2,9875.99
392,268,45,359,14,22,31,8.6,4083.79,6931.06
393,586,14,43,18,15,39,14.69,4434.3,3245.58
394,8,4,68,2,5,81,12.06,3500.77,28076.57
395,508,44,255,16,23,14,6.53,4027.22,3634.71
396,476,48,421,4,1,52,13.76,2533.78,12383.89
397,297,42,142,4,13,69,14.79,4605.34,16236.21
398,164,32,41,11,4,16,8.78,4583.85,7055.32
399,485,20,87,7,11,51,8.67,2983.45,10032.5
400,597,17,329,16,16,25,3.05,1223.3,6732.21
401,72,29,408,18,17,9,12.09,3388.25,771.81
402,567,39,75,11,1,59,13.9,4185.66,24556.24
403,559,32,476,5,11,56,5.26,2224.81,12170.68
404,238,4,19,3,13,24,4.22,311.62,2957.99
405,104,24,467,2,25,27,13.47,2810.06,9208.8
406,210,44,268,14,5,94,1.24,3281.33,22709.15
407,554,42,303,5,2,51,1.41,4523.61,11534.44
408,468,2,98,3,5,69,14.13,1260.68,7624.33
409,454,14,140,3,16,30,10.1,4440.78,3470.5
410,268,40,131,15,7,56,8.15,4589.71,9789.3
411,386,42,414,19,17,90,14.62,3454.41,26001.03
412,387,38,186,16,1,30,1.32,3933.76,8222.81
413,259,34,367,12,14,9,10.61,3136.7,2391.73
414,283,46,174,5,9,6,6.84,176.3,1282.25
415,626,43,179,3,5,54,9.93,2933.42,6258.71
416,40,2,355,11,18,59,2.61,2725.36,27776.21
417,486,36,15,7,8,98,8.62,2828.56,19288.69
418,220,6,299,6,5,54,12.53,1108.7,5472.98
419,129,36,406,14,15,8,14.39,3252.13,1675.35
420,520,22,265,16,5,20,3.13,2809.42,5381.32
421,613,5,348,10,21,17,14.81,207.04,1604.93
422,688,38,349,4,2,17,5.66,1529.56,4428.84
423,619,41,39,16,1,15,11.19,2661.56,3700.18
424,613,22,231,19,24,33,9.04,3586.84,10156.78
425,260,48,487,7,23,44,2.96,4338.6,9196.64
426,366,11,465,3,19,87,7.81,2628.32,10320.82
427,544,43,324,3,6,37,8.12,4120.51,4374.55
428,649,31,57,16,1,42,8.48,3671.69,10676.65
429,524,42,452,4,13,60,3.26,1303.4,16028.85
430,16,29,263,11,11,62,13.41,1423.71,25951.72
431,129,33,2,10,23,5,2.04,2785.23,542.8
432,575,22,54,1,21,26,11.38,1847.47,7437.93
433,109,49,421,18,3,77,4.39,307.25,7181.6
434,533,27,458,19,10,88,0.81,1431.91,29535.37
435,670,8,466,11,23,53,12.31,1771.45,22466.35
436,269,48,412,16,2,75,13.96,3347.96,17923.85
437,162,6,59,20,21,97,8.28,3253.87,13097.93
438,260,46,430,9,4,11,12.08,4214.66,595.94
439,102,25,447,7,22,67,12.69,695.33,12599.82
440,506,34,419,5,21,75,10.13,4989.15,15462.13
441,571,9,355,10,24,59,5.16,1270.88,6201.0
442,247,36,371,11,20,24,10.99,4600.78,10326.58
443,640,31,94,20,18,87,14.63,2123.9,10934.31
444,537,19,213,5,21,12,1.63,2345.67,2707.93
445,131,49,58,17,7,49,6.56,3991.07,11344.76
446,353,1,217,18,18,82,10.7,3382.31,7143.2
447,196,24,141,15,4,84,1.68,1947.14,15718.3
448,666,34,327,12,9,17,5.29,2900.83,4786.58
449,382,17,390,2,23,73,7.94,2714.74,26489.05
450,645,34,212,7,21,19,6.61,3081.65,3821.9
451,227,35,301,3,15,15,12.22,2011.75,1694.33
452,701,36,133,12,7,10,6.38,3267.17,2783.23
453,476,13,166,14,12,46,3.89,2868.03,10814.8
454,477,25,428,4,8,30,14.43,3785.04,7089.05
455,265,12,232,5,18,10,11.46,517.91,2031.11
456,372,21,25,19,14,34,11.48,1433.91,10183.85
457,486,37,338,14,20,34,0.68,4830.21,8260.52
458,434,46,472,15,13,99,7.04,1232.79,17515.23
459,646,38,399,7,17,64,7.41,887.78,12763.49
460,211,1,200,1,2,45,13.54,1312.47,12559.57
461,572,48,333,17,2,76,2.09,1236.2,18437.71
462,377,6,423,6,10,22,7.07,574.59,2368.92
463,395,45,48,12,19,95,11.91,945.01,24878.86
464,450,45,52,19,10,28,9.89,729.35,8537.35
465,364,11,60,14,2,43,7.32,2345.78,9748.69
466,457,16,473,10,20,16,7.12,1134.78,1646.87
467,725,22,279,7,6,54,2.43,3730.11,11348.43
468,728,46,453,20,6,47,7.36,4213.67,6410.08
469,226,11,308,20,24,2,11.1,511.73,261.76
470,131,37,342,12,25,15,14.26,1677.17,3823.45
471,588,26,239,15,17,73,12.77,4834.78,12119.18
472,476,26,278,7,25,57,8.5,3285.04,11233.67
473,277,42,25,5,7,68,5.88,3798.6,14681.97
474,156,21,183,4,1,74,2.74,1608.4,19875.18
475,218,26,239,1,22,99,12.21,3242.87,28056.1
476,190,15,64,20,18,22,12.5,988.82,2833.98
477,417,39,321,13,2,67,8.47,744.33,29719.37
478,675,35,4,5,20,92,11.82,535.51,18610.21
479,692,11,308,5,20,53,13.24,3327.68,10548.45
480,546,9,117,18,9,72,9.61,2569.66,6348.63
481,41,42,416,2,18,25,8.11,1119.57,9054.84
482,307,23,53,15,10,57,3.47,4336.82,10471.81
483,338,4,26,13,5,13,9.21,4344.46,5719.82
484,314,30,100,6,23,38,3.07,4268.68,4267.89
485,75,28,207,14,14,78,3.35,569.23,18441.17
486,279,25,419,6,17,49,1.26,1931.07,5606.09
487,176,22,486,3,5,65,7.78,780.91,7713.47
488,662,25,219,19,22,16,0.61,1094.55,5380.9
489,273,26,14,19,5,64,4.59,2412.83,20661.68
490,620,50,418,18,16,81,0.06,1644.83,7896.81
491,651,29,60,16,20,25,10.76,2707.14,6196.83
492,289,46,153,4,5,56,2.5,3093.14,15077.79
493,724,41,54,20,13,79,10.96,480.16,10355.69
494,272,32,255,13,2,48,8.01,2116.98,21398.49
495,66,26,411,9,18,75,14.76,4354.1,3939.37
496,483,28,21,8,8,13,14.64,4665.8,895.29
497,248,20,432,17,1,50,4.19,1033.86,11869.9
498,156,48,35,9,4,3,14.47,2051.99,158.11
499,47,2,180,12,20,28,10.94,3448.34,7413.46
500,454,23,454,5,19,37,7.43,2229.09,7857.16
